Met_id	Met_name	Met_compartment	Met_charge	Met_formula
Liver_MAM00876c	Liver_3-oxoheptanoyl-[ACP]	c	-1.0	C18H31N2O9PRS
Liver_MAM00908c	Liver_3-oxotridecanoyl-[ACP]	c	-1.0	C24H43N2O9PRS
Liver_MAM00853c	Liver_3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA	c	-4.0	C45H66N7O18P3S
Liver_MAM02039i	Liver_H+	i	1.0	H
Liver_MAM02426c	Liver_lysine	c	1.0	C6H15N2O2
Liver_MAM02804c	Liver_protoporphyrinogen IX	c	-2.0	C34H38N4O4
Liver_MAM03018c	Liver_trans,cis-2,9-eicosadienoyl-CoA	c	-4.0	C41H66N7O17P3S
Liver_MAM03017c	Liver_trans,cis-2,8,11-eicosatrienoyl-CoA	c	-4.0	C41H64N7O17P3S
Liver_MAM03067c	Liver_tRNA(cys)	c	0.0	RH
Liver_MAM00003c	Liver_(10Z)-heptadecenoic acid	c	-1.0	C17H31O2
Liver_MAM02690c	Liver_pentadecylic acid	c	-1.0	C15H29O2
Liver_MAM02939e	Liver_stearidonic acid	e	-1.0	C18H27O2
Liver_MAM02039e	Liver_H+	e	1.0	H
Liver_MAM00240c	Liver_1,2-diacylglycerol-LD-TAG pool	c	0.0	C5H6O5R2
Liver_MAM00132c	Liver_(9Z,12Z,15Z,18Z)-TTA	c	-1.0	C24H39O2
Liver_MAM00022m	Liver_(13Z,16Z)-docosadienoylcarnitine	m	-1.0	C29H52NO4
Liver_MAM01948c	Liver_GDP	c	-3.0	C10H12N5O11P2
Liver_MAM01368c	Liver_ascorbate	c	-1.0	C6H7O6
Liver_MAM02053c	Liver_heneicosanoic acid	c	-1.0	C21H41O2
Liver_MAM01802x	Liver_FAD	x	-2.0	C27H31N9O15P2
Liver_MAM00111e	Liver_(6Z,9Z,12Z,15Z,18Z)-TPA	e	-1.0	C24H37O2
Liver_MAM01804c	Liver_FAICAR	c	-2.0	C10H13N4O9P
Liver_MAM00114e	Liver_(6Z,9Z,12Z,15Z,18Z,21Z)-THA	e	-1.0	C24H35O2
Liver_MAM01432e	Liver_cerotic acid	e	-1.0	C26H51O2
Liver_MAM00118c	Liver_(7Z)-tetradecenoyl-CoA	c	-4.0	C35H56N7O17P3S
Liver_MAM00866c	Liver_3-oxodocosanoyl-CoA	c	-4.0	C43H72N7O18P3S
Liver_MAM00639c	Liver_2-deoxy-D-ribose-1-phosphate	c	-2.0	C5H9O7P
Liver_MAM00777c	Liver_3-hydroxyeicosanoyl-CoA	c	-4.0	C41H70N7O18P3S
Liver_MAM01803m	Liver_FADH2	m	-2.0	C27H33N9O15P2
Liver_MAM01784c	Liver_EPA	c	-1.0	C20H29O2
Liver_MAM03005c	Liver_trans,cis,cis,cis-2,11,14,17-eicosatetraenoyl-CoA	c	-4.0	C41H62N7O17P3S
Liver_MAM00010c	Liver_(11Z,14Z,17Z)-eicosatrienoic acid	c	-1.0	C20H33O2
Liver_MAM00872c	Liver_3-oxoeicosanoyl-CoA	c	-4.0	C41H68N7O18P3S
Liver_MAM00101m	Liver_(5Z,8Z,11Z)-eicosatrienoyl-CoA	m	-4.0	C41H64N7O17P3S
Liver_MAM01633m	Liver_D-3-amino-isobutanoate	m	0.0	C4H9NO2
Liver_MAM01821c	Liver_Fe2+	c	2.0	Fe
Liver_MAM00131c	Liver_(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA	c	-4.0	C45H70N7O17P3S
Liver_MAM00055c	Liver_(2E)-nonenoyl-[ACP]	c	-1.0	C20H35N2O8PRS
Liver_MAM00016c	Liver_(13Z)-docosenoyl-CoA	c	-4.0	C43H72N7O17P3S
Liver_MAM01597c	Liver_CoA	c	-4.0	C21H32N7O16P3S
Liver_MAM00898c	Liver_3-oxopentanoyl-[ACP]	c	-1.0	C16H27N2O9PRS
Liver_MAM02975c	Liver_tetradecenoylcarnitine(7)	c	0.0	C21H39NO4
Liver_MAM02151c	Liver_hydroxymethylbilane	c	-8.0	C40H38N4O17
Liver_MAM01708c	Liver_dimethylglycine	c	0.0	C4H9NO2
Liver_MAM02456e	Liver_margaric acid	e	-1.0	C17H33O2
Liver_MAM03051c	Liver_tridecylic acid	c	-1.0	C13H25O2
Liver_MAM00135e	Liver_(9Z,12Z,15Z,18Z,21Z)-TPA	e	-1.0	C24H37O2
Liver_MAM01420c	Liver_carbamoyl-phosphate	c	-2.0	CH2NO5P
Liver_MAM03072c	Liver_tRNA(ile)	c	0.0	RH
Liver_MAM00020c	Liver_(13Z)-octadecenoyl-CoA	c	-4.0	C39H64N7O17P3S
Liver_MAM01236c	Liver_9-eicosenoyl-CoA	c	-4.0	C41H68N7O17P3S
Liver_MAM02341c	Liver_L-asparaginyl-tRNA(asn)	c	1.0	C4H8N2O2R
Liver_MAM01235e	Liver_9-eicosenoic acid	e	-1.0	C20H37O2
Liver_MAM00184c	Liver_[ACP]	c	-1.0	C11H21N2O7PRS
Liver_MAM02103m	Liver_heptadecenoylcarnitine(8)	m	0.0	C24H45NO4
Liver_MAM00009c	Liver_(11Z,14Z)-eicosadienoyl-CoA	c	-4.0	C41H66N7O17P3S
Liver_MAM00025c	Liver_(15Z)-tetracosenoyl-CoA	c	-4.0	C45H76N7O17P3S
Liver_MAM03014c	Liver_trans,cis-2,13-eicosadienoyl-CoA	c	-4.0	C41H66N7O17P3S
Liver_MAM01619e	Liver_creatine	e	0.0	C4H9N3O2
Liver_MAM02975m	Liver_tetradecenoylcarnitine(7)	m	0.0	C21H39NO4
Liver_MAM02648e	Liver_omega-3-arachidonic acid	e	-1.0	C20H31O2
Liver_MAM02006c	Liver_glycyl-tRNA(gly)	c	1.0	C2H5NOR
Liver_MAM00135c	Liver_(9Z,12Z,15Z,18Z,21Z)-TPA	c	-1.0	C24H37O2
Liver_MAM00776c	Liver_3-hydroxydocosanoyl-CoA	c	-4.0	C43H74N7O18P3S
Liver_MAM00129c	Liver_(9E)-tetradecenoyl-CoA	c	-4.0	C35H56N7O17P3S
Liver_MAM01074m	Liver_5-aminolevulinate	m	0.0	C5H9NO3
Liver_MAM01974c	Liver_glutamate	c	-1.0	C5H8NO4
Liver_MAM02376c	Liver_L-glutaminyl-tRNA(gln)	c	1.0	C5H10N2O2R
Liver_MAM02613e	Liver_nonadecylic acid	e	-1.0	C19H37O2
Liver_MAM03045c	Liver_tricosanoic acid	c	-1.0	C23H45O2
Liver_MAM00115e	Liver_(7Z)-octadecenoic acid	e	-1.0	C18H33O2
Liver_MAM01796c	Liver_ethanol	c	0.0	C2H6O
Liver_MAM02454c	Liver_mannose-1-phosphate	c	-2.0	C6H11O9P
Liver_MAM00094e	Liver_(4Z,7Z,10Z,13Z,16Z)-DPA	e	-1.0	C22H33O2
Liver_MAM03111c	Liver_UDP-N-acetylglucosamine	c	-2.0	C17H25N3O17P2
Liver_MAM00896c	Liver_3-oxopentadecanoyl-[ACP]	c	-1.0	C26H47N2O9PRS
Liver_MAM03023m	Liver_trans,cis-myristo-2,7-dienoyl-CoA	m	-4.0	C35H54N7O17P3S
Liver_MAM02348c	Liver_L-carnitine	c	0.0	C7H15NO3
Liver_MAM20019c	Liver_FMNH2	c	-2.0	C17H21N4O9P
Liver_MAM03049m	Liver_tridecanoylcarnitine	m	0.0	C20H39NO4
Liver_MAM03045e	Liver_tricosanoic acid	e	-1.0	C23H45O2
Liver_MAM02733c	Liver_phosphatidate-LD-TAG pool	c	-2.0	C5H5O8PR2
Liver_MAM02730c	Liver_phosphatidate-LD-PI pool	c	-2.0	C5H5O8PR2
Liver_MAM01628c	Liver_cysteine	c	0.0	C3H7NO2S
Liver_MAM01932c	Liver_gamma-linolenate	c	-1.0	C18H29O2
