IEM	Gene	Gene_Recon	met_Human-GEM	met_Human2	met_Human1	met_Recon3D_301	In_Vivo
ALPL-related Tissue-nonspecific alkaline phosphatase deficiency 	ENSG00000162551	249.1	MAM02814	MAM02814	m02814	pydx5p	increase
OAT-related Ornithine aminotransferase deficiency 	ENSG00000065154	4942.1	MAM02658	MAM02658	m02658	orn	increase
OAT-related Ornithine aminotransferase deficiency 	ENSG00000065154	4942.1	MAM02579	MAM02579	m02579	nh4	increase
ABCC8-related ATP-sensitive potassium channel regulatory subunit deficiency 	ENSG00000006071	6833.1	MAM01965	MAM01965	m01965	glc_D	decrease
GLUD1-related Glutamate dehydrogenase superactivity 	ENSG00000148672	2746.1	MAM02579	MAM02579	m02579	nh4	increase
SLC16A1-related Monocarboxylate transporter 1 superactivity 	ENSG00000155380	6566.1	MAM01965	MAM01965	m01965	glc_D	decrease
"MTHFS-related 5,10-Methenyltetrahydrofolate synthetase deficiency "	ENSG00000136371	10588.1	MAM01115	MAM01115	m01115	5mthf	decrease
HAO1-related Hydroxyacid oxidase 1 deficiency 	ENSG00000101323	54363.1	MAM01998	MAM01998	m01998	glyclt	increase
PCBD1-related Tetrahydrobiopterin deficiency (PCD) 	ENSG00000166228	"5092.1, 5092.2"	MAM01965	MAM01965	m01965	glc_D	increase
TDO2-related Hypertryptophanemia 	ENSG00000151790	6999.1	MAM03089	MAM03089	m03089	trp_L	increase
TDO2-related Hypertryptophanemia 	ENSG00000151790	6999.1	MAM02897	MAM02897	m02897	srtn	increase
ABCD3-related Congenital bile acid synthesis defect 	ENSG00000117528	5825.1	MAM00752	MAM00752	m00752	thcholstoic	increase
"UQCRC2-related Mitochondrial complex III deficiency, nuclear type 5 "	ENSG00000140740	7385.1	MAM02579	MAM02579	m02579	nh4	increase
PCCA-related Propionic acidemia 	ENSG00000175198	5095.1	MAM01986	MAM01986	m01986	gly	increase
PCCA-related Propionic acidemia 	ENSG00000175198	5095.1	MAM00665	MAM00665	m00665	2mcit	increase
MMUT-related Methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency 	ENSG00000146085	4594.1	MAM01986	MAM01986	m01986	gly	increase
MMUT-related Methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency 	ENSG00000146085	4594.1	MAM02657	MAM02657	m02657	pcrn	increase
MMUT-related Methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency 	ENSG00000146085	4594.1	MAM00665	MAM00665	m00665	2mcit	increase
MMUT-related Methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency 	ENSG00000146085	4594.1	MAM02579	MAM02579	m02579	nh4	increase
NDUFS4-related NADH dehydrogenase iron-sulfur protein 4 deficiency 	ENSG00000164258	4724.1	MAM01965	MAM01965	m01965	glc_D	decrease
