Mets	DemandValue
MAM03774u	0
MAM02907u	0
MAM01580u	-4.013568
MAM00758u	-11.26638481
MAM00752u	
MAM01093u	-11.26638481
MAM03313u	
MAM01822u	-0.00424336
MAM02588u	0
MAM02630u	-14.50692932
MAM02751u	-52.18062736
MAM01672u	0
MAM02813u	0
MAM02815u	-4.013568
MAM03039u	0
MAM03775u	0
MAM03407u	0
MAM03957u	0
MAM04072u	-4.013568
MAM03778u	0
MAM03176u	-8.027136
MAM03186u	-8.027136
MAM03212u	0
MAM03246u	0
MAM03886u	-88.10452957
MAM03777u	0
MAM03997u	-4.047514882
MAM03615u	0
MAM03258u	-5.823663228
MAM03260u	-6.859982902
MAM03287u	0
MAM03660u	-92.39492647
MAM03765u	0
MAM03955u	-13.68485422
MAM03277u	0
MAM03283u	-19.7225019
MAM00428u	0
MAM01504u	0
MAM00623u	0
MAM00619u	0
MAM01675u	0
MAM01512u	0
MAM00350u	-3.602702865
MAM01231u	0
MAM02134u	-8.027136
MAM02603u	-4.013568
MAM02875u	0
MAM02870u	0
MAM02117u	0
MAM01045u	-16.054272
MAM01841u	-4.013568
MAM03565u	-8.027136
MAM03270u	0
MAM03281u	0
MAM01154u	0
MAM00231u	-8.178946803
MAM03197u	
MAM01139u	0
MAM03282u	0
MAM01134u	0
MAM03206u	-4.013568
MAM03207u	
MAM03208u	-4.013568
MAM03504u	-4.013568
MAM03538u	-4.013568
MAM03587u	
MAM03588u	-12.82459948
MAM03589u	-4.013568
MAM03637u	
MAM03685u	-4.013568
MAM03962u	-8.027136
MAM03963u	-4.013568
MAM03965u	-4.013568
MAM03996u	-4.013568
MAM04042u	
MAM04058u	0
MAM00519u	0
MAM00635u	-27.01968479
MAM01989u	0
MAM02902u	
MAM02903u	-8.851576781
MAM00240u	0
MAM02164u	-11.12014942
MAM02199u	-12.6280112
MAM03577u	0
MAM01851u	0
MAM01853u	0
MAM03578u	-11.0094622
MAM02331u	0
MAM01861u	-11.0094622
MAM01945u	-0.014976
MAM02018u	0
MAM02019u	0
MAM02023u	0
MAM02028u	0
MAM00656u	-24.17508319
MAM00490u	0
MAM02684u	
MAM02685u	0
MAM02715u	
MAM02808u	
MAM02931u	0
MAM01451u	-9.345947757
MAM01430u	-32.10855067
MAM03838u	0
MAM03839u	0
MAM03841u	0
MAM03842u	0
MAM03845u	0
MAM03846u	0
MAM03848u	0
MAM03855u	0
MAM03856u	0
MAM03859u	0
MAM03860u	0
MAM03861u	0
MAM04077u	0
MAM02908u	-32.02970917
MAM01972u	
MAM02750u	0
MAM01904u	0
MAM03635u	0
MAM02010u	0
MAM01943u	0
MAM02030u	
MAM01326u	0
MAM01641u	0
MAM01768u	0
MAM00577u	0
MAM02150u	0
MAM02675u	-4.013568
MAM02174u	-0.002414856
MAM02642u	-141.2488725
MAM02986u	0
MAM02998u	-0.000603714
MAM03052u	-0.000804952
MAM00734u	0
MAM02402u	0
MAM03560u	-18.52049732
MAM01648u	
MAM01922u	0
MAM02546u	-136.5158917
MAM02517u	0
MAM02123u	0
MAM01380u	0
MAM02654u	0
MAM03682u	-27.40132815
MAM01767u	0
MAM00739u	0
