Mets	DemandValue
MAM04072bc	-3.73677020817408
MAM04076bc	0
MAM04079bc	0
MAM04080bc	0
MAM01447bc	0
MAM00613bc	0
MAM02986bc	0
MAM00734bc	0
MAM03682bc	-91.6932882939298
MAM01050bc	-34.7790553312359
MAM00385bc	
MAM02766bc	0
MAM00314bc	0
MAM03707bc	0
MAM03708bc	0
MAM03314bc	0
MAM03645bc	0
MAM03644bc	0
MAM01180bc	0
MAM01442bc	-22533.4499160001
MAM01744bc	0
MAM01334bc	-286.224748268603
MAM01413bc	-5.24376098098855e-11
MAM03130bc	0
MAM02452bc	0
MAM03157bc	0
MAM02782bc	0
MAM02784bc	0
MAM02788bc	0
MAM02790bc	0
MAM02792bc	0
MAM02147bc	-3226.05879449657
MAM01087bc	0
MAM00378bc	0
MAM02891bc	0
MAM01747bc	0
MAM01980bc	0
MAM02900bc	0
MAM02901bc	3.5912162132945e-11
MAM02839bc	-0.000804951999999304
MAM03329bc	0
MAM03976bc	0
MAM01603bc	-73.4321253048687
MAM02467bc	0
MAM01742bc	0
MAM03614bc	-5.24376098098855e-11
MAM03188bc	0
MAM01350bc	-1.0931579449498
MAM01351bc	-0.0991936500515268
MAM01353bc	-4.44153976672875
MAM01354bc	-3.10572602878643
MAM01355bc	-1.82192990891642
MAM01359bc	-0.683223715808171
MAM03710bc	0
MAM03647bc	0
MAM03692bc	0
MAM01674bc	0
MAM02741bc	0
MAM01600bc	0
MAM02278bc	0
MAM02510bc	0
MAM01179bc	0
MAM00979bc	0
MAM00764bc	0
MAM02440bc	0
MAM03837bc	0
MAM03836bc	0
MAM01997bc	0
MAM03701bc	0
MAM02583bc	-6.01076227161587
RBC_MAM01596bc	-6367.13636026479
RBC_MAM02630bc	-2890.27817128075
MAM03684bc	0
