cellLine	TP	TN	FP	FN	accuracy	sensitivity	specificity	F1	MCC
ACH-000757	119	2292	164	197	0.86976911976912	0.376582278481013	0.933224755700326	0.397328881469115	0.325194604010661
ACH-000029	123	2309	144	196	0.877344877344877	0.385579937304075	0.941296371789645	0.419795221843003	0.353564021787711
ACH-000782	128	2290	154	200	0.872294372294372	0.390243902439024	0.936988543371522	0.419672131147541	0.349638825999006
ACH-001173	120	2299	184	169	0.872655122655123	0.41522491349481	0.925896093435361	0.404721753794266	0.333607938599735
ACH-000356	127	2316	139	190	0.881313131313131	0.400630914826498	0.943380855397149	0.435677530017153	0.371704081357304
ACH-000009	114	2324	158	176	0.879509379509379	0.393103448275862	0.936341659951652	0.405693950177936	0.338944424612853
ACH-000424	118	2302	169	183	0.873015873015873	0.39202657807309	0.931606636989073	0.401360544217687	0.330497792661228
ACH-000588	134	2272	152	214	0.867965367965368	0.385057471264368	0.937293729372937	0.422712933753943	0.351116826958719
ACH-000701	109	2323	166	174	0.877344877344877	0.385159010600707	0.933306548814785	0.390681003584229	0.322546638567857
ACH-000580	115	2313	161	183	0.875901875901876	0.385906040268456	0.934923201293452	0.400696864111498	0.331898349544723
ACH-000226	128	2308	143	193	0.878787878787879	0.398753894080997	0.941656466748266	0.432432432432432	0.366762944259678
ACH-000200	104	2307	172	189	0.86976911976912	0.354948805460751	0.930617184348528	0.365553602811951	0.293225492791103
ACH-000152	115	2304	188	165	0.872655122655123	0.410714285714286	0.924558587479936	0.39451114922813	0.323794592577941
ACH-000507	134	2313	132	193	0.882756132756133	0.409785932721713	0.94601226993865	0.451939291736931	0.389659892430748
ACH-000973	113	2320	181	158	0.877705627705628	0.416974169741697	0.927628948420632	0.4	0.332381143758491
ACH-000397	96	2333	174	169	0.876262626262626	0.362264150943396	0.930594335859593	0.358878504672897	0.290423920146704
ACH-000655	104	2317	176	175	0.873376623376623	0.372759856630824	0.92940232651424	0.372093023255814	0.301682637205002
ACH-000700	115	2281	147	229	0.864357864357864	0.334302325581395	0.939456342668863	0.37953795379538	0.308520435395347
ACH-000734	110	2320	151	191	0.876623376623377	0.365448504983389	0.93889113719142	0.391459074733096	0.324216069234005
ACH-000337	134	2292	136	210	0.875180375180375	0.38953488372093	0.943986820428336	0.436482084690554	0.370853283790094
ACH-000472	103	2344	171	154	0.882756132756133	0.400778210116732	0.932007952286282	0.387947269303202	0.323392033721066
ACH-000556	121	2308	156	187	0.876262626262626	0.392857142857143	0.936688311688312	0.413675213675214	0.345331246478599
ACH-000846	111	2326	161	174	0.879148629148629	0.389473684210526	0.935263369521512	0.398563734290844	0.33154135828335
ACH-000505	107	2303	201	161	0.869408369408369	0.399253731343284	0.919728434504792	0.371527777777778	0.299954410270006
ACH-000861	110	2322	167	173	0.877344877344877	0.3886925795053	0.932904781036561	0.392857142857143	0.324670613937772
ACH-000614	136	2278	147	211	0.870851370851371	0.39193083573487	0.939381443298969	0.431746031746032	0.362119969166408
ACH-000974	103	2315	164	190	0.872294372294372	0.351535836177474	0.933844292053247	0.367857142857143	0.297396810513938
ACH-000204	117	2283	159	213	0.865800865800866	0.354545454545455	0.934889434889435	0.386138613861386	0.313042893697919
ACH-000963	126	2277	153	216	0.866883116883117	0.368421052631579	0.937037037037037	0.405797101449275	0.333890898093491
ACH-000676	137	2281	146	208	0.872294372294372	0.397101449275362	0.939843428100536	0.436305732484076	0.367364873444215
ACH-000473	101	2351	168	152	0.884559884559885	0.399209486166008	0.933306867804684	0.386973180076628	0.323504845044972
ACH-000838	121	2294	167	190	0.871212121212121	0.389067524115756	0.932141405932548	0.404006677796327	0.332239735602528
ACH-000491	121	2306	148	197	0.875541125541126	0.380503144654088	0.939690301548492	0.412265758091993	0.344712246551788
ACH-000258	118	2291	168	195	0.869047619047619	0.376996805111821	0.931679544530297	0.393989983305509	0.321159823180048
ACH-000589	124	2299	156	193	0.874098124098124	0.391167192429022	0.936456211812627	0.415410385259631	0.346000927766715
ACH-000092	104	2324	170	174	0.875901875901876	0.37410071942446	0.931836407377706	0.376811594202899	0.307915327450202
ACH-000541	125	2268	169	210	0.863275613275613	0.373134328358209	0.930652441526467	0.397456279809221	0.321584203750719
ACH-000070	144	2272	141	215	0.871572871572872	0.401114206128134	0.941566514711977	0.447204968944099	0.378839482237266
ACH-000936	126	2304	135	207	0.876623376623377	0.378378378378378	0.944649446494465	0.424242424242424	0.35960385597196
ACH-000250	103	2319	171	179	0.873737373737374	0.365248226950355	0.931325301204819	0.370503597122302	0.300389752478899
ACH-000706	132	2297	156	187	0.876262626262626	0.413793103448276	0.936404402772116	0.43492586490939	0.366256318015943
ACH-000436	109	2310	174	179	0.872655122655123	0.378472222222222	0.929951690821256	0.381786339754816	0.310823907913589
ACH-000499	111	2294	166	201	0.867604617604618	0.355769230769231	0.932520325203252	0.376910016977929	0.30380757648952
ACH-000788	97	2342	176	157	0.87987012987013	0.381889763779528	0.93010325655282	0.368121442125237	0.302082208718533
ACH-000510	116	2347	156	153	0.888528138528139	0.431226765799257	0.937674790251698	0.428835489833641	0.367081582730117
ACH-000849	133	2306	150	183	0.87987012987013	0.420886075949367	0.938925081433225	0.444073455759599	0.377682343955952
ACH-000404	120	2277	144	231	0.864718614718615	0.341880341880342	0.940520446096654	0.390243902439024	0.31992717240394
ACH-000281	126	2312	149	185	0.879509379509379	0.405144694533762	0.939455505891914	0.430034129692833	0.363811069489154
ACH-000277	133	2272	154	213	0.867604617604618	0.384393063583815	0.936521022258862	0.420221169036335	0.3481513493289
ACH-000520	99	2327	170	176	0.875180375180375	0.36	0.931918301962355	0.363970588235294	0.294801967342986
ACH-000425	110	2329	152	181	0.87987012987013	0.378006872852234	0.938734381297864	0.397830018083183	0.331876882766984
ACH-000163	98	2309	182	183	0.868326118326118	0.348754448398576	0.926936973103171	0.349376114081996	0.27612786929291
ACH-000600	106	2322	172	172	0.875901875901876	0.381294964028777	0.931034482758621	0.381294964028777	0.312329446787398
ACH-000368	103	2311	193	165	0.870851370851371	0.384328358208955	0.922923322683706	0.365248226950355	0.294006986745769
ACH-000304	112	2288	176	196	0.865800865800866	0.363636363636364	0.928571428571429	0.375838926174497	0.300964632714423
ACH-000004	126	2316	149	181	0.880952380952381	0.41042345276873	0.939553752535497	0.43298969072165	0.367402231939054
ACH-000415	108	2323	162	179	0.876984126984127	0.376306620209059	0.934808853118712	0.387791741472172	0.319668778409768
ACH-000986	134	2310	150	178	0.881673881673882	0.429487179487179	0.939024390243902	0.449664429530201	0.384071091790022
ACH-000848	125	2305	163	179	0.876623376623377	0.411184210526316	0.933954619124797	0.422297297297297	0.353452576616853
ACH-000060	107	2314	181	170	0.873376623376623	0.386281588447653	0.927454909819639	0.378761061946903	0.308367191072897
ACH-000843	138	2300	128	206	0.879509379509379	0.401162790697674	0.947281713344316	0.452459016393443	0.390037020052567
ACH-000736	137	2283	163	189	0.873015873015873	0.420245398773006	0.933360588716271	0.437699680511182	0.366666958400198
ACH-000390	128	2317	136	191	0.882034632034632	0.401253918495298	0.944557684467998	0.439108061749571	0.375939489301376
ACH-000817	130	2292	140	210	0.873737373737374	0.382352941176471	0.942434210526316	0.426229508196721	0.35933088717082
ACH-000011	106	2312	169	185	0.872294372294372	0.36426116838488	0.931882305521967	0.374558303886926	0.303659187115328
ACH-000498	114	2181	157	320	0.827922077922078	0.262672811059908	0.932848588537211	0.323404255319149	0.239232359825379
ACH-000724	108	2305	181	178	0.870490620490621	0.377622377622378	0.927192276749799	0.375652173913043	0.303411571601196
ACH-000030	139	2325	125	183	0.888888888888889	0.43167701863354	0.948979591836735	0.474402730375427	0.415507267851161
ACH-000477	115	2305	149	203	0.873015873015873	0.361635220125786	0.939282803585982	0.395189003436426	0.326688096625392
ACH-000322	126	2272	165	209	0.865079365079365	0.376119402985075	0.932293803857202	0.402555910543131	0.32796179790807
ACH-000198	145	2268	142	217	0.870490620490621	0.400552486187845	0.941078838174274	0.446841294298921	0.377847319997289
ACH-000207	136	2249	159	228	0.86038961038961	0.373626373626374	0.933970099667774	0.412746585735964	0.336888567842106
ACH-000862	112	2329	163	168	0.880591630591631	0.4	0.934590690208668	0.403603603603604	0.33728052823947
ACH-000725	135	2267	152	218	0.866522366522366	0.382436260623229	0.937164117403886	0.421875	0.349710302055606
ACH-000524	107	2324	188	153	0.876984126984127	0.411538461538462	0.92515923566879	0.385585585585586	0.318319047304962
ACH-000183	127	2287	151	207	0.870851370851371	0.380239520958084	0.938063986874487	0.415032679738562	0.344953762494402
ACH-000019	137	2288	132	215	0.874819624819625	0.389204545454545	0.945454545454545	0.44122383252818	0.376422068507631
ACH-000839	90	2305	183	194	0.863997113997114	0.316901408450704	0.926446945337621	0.323159784560144	0.247655694884312
ACH-000593	115	2342	154	161	0.886363636363636	0.416666666666667	0.938301282051282	0.422018348623853	0.359053700972908
ACH-000493	107	2307	177	181	0.870851370851371	0.371527777777778	0.928743961352657	0.374125874125874	0.302135767422886
ACH-000651	135	2279	161	197	0.870851370851371	0.406626506024096	0.934016393442623	0.429936305732484	0.358131168755743
ACH-000771	101	2303	175	193	0.867243867243867	0.343537414965986	0.929378531073446	0.354385964912281	0.280657334486218
ACH-000464	100	2330	166	176	0.876623376623377	0.36231884057971	0.93349358974359	0.3690036900369	0.300719713820379
ACH-000128	116	2330	163	163	0.882395382395382	0.415770609318996	0.934616927396711	0.415770609318996	0.350387536715707
ACH-000821	129	2284	142	217	0.870490620490621	0.372832369942197	0.941467436108821	0.418152350081037	0.349772828779767
ACH-000946	121	2329	149	173	0.883838383838384	0.41156462585034	0.939870863599677	0.429078014184397	0.364959268737464
ACH-000784	110	2329	164	169	0.87987012987013	0.39426523297491	0.934215804251905	0.397830018083183	0.331132681349687
ACH-000756	93	2307	204	168	0.865800865800866	0.35632183908046	0.918757467144564	0.333333333333333	0.259738126766941
ACH-000017	123	2312	156	181	0.878427128427128	0.404605263157895	0.936790923824959	0.421955403087479	0.354572292083238
ACH-000758	127	2321	144	180	0.883116883116883	0.413680781758958	0.94158215010142	0.439446366782007	0.375392899547332
ACH-000028	132	2296	146	198	0.875901875901876	0.4	0.94021294021294	0.434210526315789	0.366783681625923
ACH-000393	88	2342	176	166	0.876623376623377	0.346456692913386	0.93010325655282	0.33976833976834	0.271811782659118
ACH-000025	118	2291	161	202	0.869047619047619	0.36875	0.934339314845024	0.393989983305509	0.321916032946423
ACH-000376	113	2332	160	167	0.882034632034632	0.403571428571429	0.935794542536116	0.408679927667269	0.343207583697826
ACH-000622	100	2331	175	166	0.876984126984127	0.37593984962406	0.930167597765363	0.369685767097967	0.301598813987554
ACH-000856	126	2283	167	196	0.869047619047619	0.391304347826087	0.931836734693878	0.409756097560976	0.336768203368783
ACH-000407	95	2338	171	168	0.877705627705628	0.361216730038023	0.931845356715823	0.359168241965974	0.291579167024114
ACH-000082	90	2330	183	169	0.873015873015873	0.347490347490348	0.927178670911261	0.338345864661654	0.268281885673388
ACH-000695	111	2316	181	164	0.875541125541126	0.403636363636364	0.927513015618742	0.391534391534392	0.322464787321975
ACH-000869	112	2321	160	179	0.877705627705628	0.384879725085911	0.935509875050383	0.397868561278863	0.330129117313404
ACH-000616	103	2324	169	176	0.875541125541126	0.369175627240143	0.932210188527878	0.373865698729583	0.304811672299999
ACH-000387	131	2324	145	172	0.885642135642136	0.432343234323432	0.941271769947347	0.452504317789292	0.389340279871517
ACH-000975	133	2294	140	205	0.875541125541126	0.393491124260355	0.942481511914544	0.435351882160393	0.36894199560296
ACH-000662	122	2210	172	268	0.841269841269841	0.312820512820513	0.927791771620487	0.35672514619883	0.271704394263404
ACH-000661	119	2289	153	211	0.868686868686869	0.360606060606061	0.937346437346437	0.395348837209302	0.324356327249874
ACH-000363	119	2315	155	183	0.878066378066378	0.394039735099338	0.937246963562753	0.413194444444444	0.345847347165247
ACH-000248	132	2310	144	186	0.880952380952381	0.415094339622642	0.941320293398533	0.444444444444444	0.379340780864435
ACH-000075	94	2320	190	168	0.870851370851371	0.358778625954198	0.924302788844621	0.344322344322344	0.273095476006262
ACH-000235	124	2310	156	182	0.878066378066378	0.405228758169935	0.936739659367397	0.42320819112628	0.355623304681267
ACH-000648	117	2279	166	210	0.864357864357864	0.357798165137615	0.932106339468303	0.383606557377049	0.308860667413726
ACH-000375	132	2292	156	192	0.874458874458874	0.407407407407407	0.936274509803922	0.431372549019608	0.361878560915747
ACH-000819	108	2344	172	148	0.884559884559885	0.421875	0.931637519872814	0.402985074626866	0.339646438985423
ACH-000243	109	2303	184	176	0.87012987012987	0.382456140350877	0.926015279453156	0.377162629757785	0.304721558934126
ACH-000138	133	2285	152	202	0.872294372294372	0.397014925373134	0.937628231432089	0.429032258064516	0.359146628564998
ACH-000227	109	2300	156	207	0.869047619047619	0.344936708860759	0.936482084690554	0.375215146299484	0.304166034278369
ACH-000273	123	2310	165	174	0.877705627705628	0.414141414141414	0.933333333333333	0.420512820512821	0.352222450814476
ACH-000467	126	2315	137	194	0.880591630591631	0.39375	0.944127243066884	0.432246998284734	0.368439308938041
ACH-000454	142	2290	135	205	0.877344877344877	0.409221902017291	0.944329896907216	0.455128205128205	0.390120256145816
ACH-001366	112	2317	175	168	0.876262626262626	0.4	0.929775280898876	0.395061728395062	0.326187255526994
ACH-000490	102	2337	165	168	0.87987012987013	0.377777777777778	0.934052757793765	0.379888268156425	0.313389671809595
ACH-000767	115	2340	145	172	0.885642135642136	0.400696864111498	0.941649899396378	0.420475319926874	0.357745253110001
ACH-000882	125	2311	140	196	0.878787878787879	0.389408099688474	0.942880456956344	0.426621160409556	0.361609185004958
ACH-000374	125	2275	148	224	0.865800865800866	0.358166189111748	0.938918695831614	0.401929260450161	0.330754320073683
