Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
				H2O[e];O2[e];chloride[e];NH3[e];Ca2+[e];iodide[e];zinc[e];sulfate[e];Fe2+[e];Na+[e];K+[e];Pi[e]			ubiquinone[m]	1.0	1.0								
	117	Phosphate dependent glutaminase 		glutamine[e]			glutamate[e]										
				H2O[e]			NH3[e]										
	118	aspartate aminotransferase		aspartate[c]	1.0		OAA[c]										
				AKG[c]			glutamate[c]										
	119	alanine aminotransferase 		alanine[e]			pyruvate[e]										
		D-alanine[p] + O2[p] + H2O[p] => pyruvate[p] + NH3[p] + H2O2[p] 		AKG[e]			glutamate[e]										
	120	D-amino acid oxidase (Alanine)		D-alanine[c]			pyruvate[c]										
				H2O[c]			H2O2[c]										
				O2[c]			NH3[c]										
	121	L-hydroxyacid oxidase		Glycolate[c];O2[c]			Glyoxalate[c];H2O2[c]										
	122	choline oxidase		choline[c]			betaine_aldehyde[c]										
				NAD+[c]			NADH[c]										
							H+[c]										
	123	25(OH) Vitamin D3-Hydroxylases		calcidiol[e]	1.0		calcitriol[c];H2O[e]										
				NADPH[c];H+[e];O2[e]			NADP+[c]	0.5									
	124	NADPH dependent glutathione reductase 		GSH[c]	2.0		GSSG[c]										
				NADP+[c]	1.0		NADPH[c];H+[c]										
	125	Creatine Synthesis 		arginine[c]			creatine[c]										
				glycine[c]				1.0									
				SAM[c]			SAH[c]										
	126	ADMA conversion		NG,NG-dimethyl-L-arginine[c]	1.0		dimethylamine[c];citrulline[e]										
				H2O[e]													
	127	Glycine Production 		GSH[e]			Cysteine[e]										
				H2O[e]			Glycine[e]										
	128	NaCl reabsorption 		Na+[e]	1.0		Na+[c]	1.0									
				ATP[e];H2O[e];K+[c]			ADP[e];Pi[e];K+[e]										
	129	AMP degredation to adenosine		AMP[e]			Adenosine[e]	1.0									
				H2O[e]			Pi[e]										
	130	Nitric Oxide synthesis from arginine		arginine[e];NADPH[c]			NO[e]										
							citrulline[e]										
	131	ATP degredation to AMP		ATP[m]			AMP[m]										
							PPi[m]										
	132	Hydroxyproline oxidase		trans-4-hydroxy-L-proline[c]			L-1-pyrroline-3-hydroxy-5-carboxylate[c]										
				O2[c]			H2O[c]	2.0									
				H+[c]	2.0												
	133	pyrroline-5-carboxylate dehydrogenase		L-1-pyrroline-3-hydroxy-5-carboxylate[m]			L-erythro-4-hydroxyglutamate[m]										
				NAD+[m]			NADH[m]										
				H2O[m]	2.0		H+[m]										
	134	aspartate aminotransferase		L-erythro-4-hydroxyglutamate[m]			4-hydroxy-2-oxoglutarate[m]										glycine precursors
				OAA[c]			aspartate[c]	1.0									
	135	hydroxyoxoglutarate aidolase		4-hydroxy-2-oxoglutarate[m]	1.0		glyoxalate[m]										glycine precursors
							pyruvate[m]	0.5									
	136	alaninie-glyoxalate transaminase 		glyoxalate[c]	1.0		glycine[e]										amino acid reabsorption 
				alanine[e]	1.0		pyruvate[e]										
	137	glycine cleavage complex		glycine[c]			CO2[c];NH3[c];NADH[c];H+[c]										glycine extraction from blood 
				5,10-methylene-THF[c];NAD+[c]			THF[c]										
	138	serine hydroxymethyltransferase		5,10-methylene-THF[c]	1.0		Serine[e]										glycine extraction from blood 
				Glycine[e];H2O[e]			THF[e]										
