1	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	128.0	Pentadecylic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Isoleucine[c]			Carbon dioxide[e];Water[e];Uric acid[e]										
							Pentadecanoic acid[c]	1.0									
	129.0	Palmitate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Palmitic acid[c]	1.0									
	130.0	Palmitolate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Palmitoleic acid[c]	1.0									
	131.0	7-palmitoleic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							(E)-6-Hexadecenoic acid[c]	1.0									
	132.0	Margaric acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Isoleucine[c]			Carbon dioxide[e];Water[e];Uric acid[e]										
							Heptadecanoic acid[c]	1.0									
	133.0	10Z-heptadecenoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Isoleucine[c]			Carbon dioxide[e];Water[e];Uric acid[e]										
							10Z-Heptadecenoic acid[c]	1.0									
	134.0	9-heptadecylenic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];L-Isoleucine[c]			Carbon dioxide[e];Water[e];Uric acid[e]										
							(Z)-9-Heptadecenoic acid[c]	1.0									
	135.0	Stearate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Stearic acid[c]	1.0									
	136.0	13Z-octadecenoic acid de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							(Z)-13-Octadecenoic acid[c]	1.0									
