Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	88.0	Deoxyguanosine synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							deoxyguanosine[c]	1.0									
	89.0	dGMP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							dGMP[c]	1.0									
	90.0	dGDP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							dGDP[c]	1.0									
	91.0	PRPP synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							PRPP[c]	1.0									
	92.0	AIR synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							AIR[c]	1.0									
	93.0	AICAR synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							AICAR[c]	1.0									
	94.0	FAICAR synthesis, cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e];urea[e]										
							FAICAR[c]	1.0									
