Metabolite	Measured	Predicted	Cell.Line
L-lactate	0.687740829	0.0094851126675723	HOP92
folate	-1.4e-05	-6.58659977589837e-08	HOP92
AKG	8.67e-06	0.0	HOP92
L-carnitine	-2.58e-05	0.0	HOP92
biomass	0.02270517	0.0009091235025395	HOP92
glucose	-0.864113881	-0.02337426365175	O_786
isoleucine	-0.00889841	-0.0001570968307176	O_786
leucine	-0.010361673	-0.0003203768136384	O_786
lysine	-0.012443708	-0.0002512577942603	O_786
methionine	-0.003263032	-7.86170659560746e-05	O_786
phenylalanine	-0.00339599	-0.0001328794112087	O_786
threonine	-0.008802744	-0.0001991338969459	O_786
tryptophan	-0.000725178	-3.44335741634718e-05	O_786
valine	-0.010005055	-0.0010272856894737	O_786
alanine	0.0076389	0.0336671421864924	O_786
asparagine	-0.002440472	-0.0002449370162058	O_786
glutamine	-0.109775824	-0.000767432712931	O_786
tyrosine	-0.003969672	-9.95587268226475e-05	O_786
arginine	-0.009856139	-0.000178723269062	O_786
glycine	0.0025653	0.0061052741144688	O_786
proline	0.000231007	-0.0001797930443075	O_786
serine	-0.030117158	-0.0403267925980536	O_786
aspartate	-0.000684778	0.0	O_786
glutamate	0.018807129	0.0	O_786
choline	-0.000571763	-8.14030017714839e-05	O_786
ornithine	0.01603422	0.0001905821924556	O_786
pyruvate	5.76e-08	0.0	O_786
L-lactate	0.992967126	0.0053658102047579	O_786
folate	-1.4e-05	-0.0063024001137571	O_786
AKG	1.24e-05	0.0	O_786
L-carnitine	9.89e-06	0.0	O_786
biomass	0.025987054	0.0006522622068813	O_786
